,title,description,genre,semantic_score,keyword_score,combined_score
0,Aussie alive after capture in Iraq,AUSTRALIAN journalist John Martinkus is lucky to be alive after spending 24 hours in the hands of Iraqi militants at the weekend. Martinkus was in Baghdad working for the SBS Dateline TV current affairs program ,World,0.3340771198272705,0.13862749934196472,0.23635230958461761
1,All Australians accounted for in Iraq: Downer (AFP),"AFP - Australia has accounted for all its nationals known to be working in Iraq following a claim by a radical Islamic group to have kidnapped two Australians, Foreign Affairs Minister Alexander Downer said.",World,0.4453953504562378,0,0.2226976752281189
2,Air NZ: Aussie regulator granted alliance appeal,"WELLINGTON: National carrier Air New Zealand said yesterday the Australian Competition Tribunal has approved a proposed alliance with Qantas Airways Ltd, despite its rejection in New Zealand.",Business,0.2542192041873932,0.11833000183105469,0.18627460300922394
3,Cricket: Aussies dominate India,Australia tighten their grip on the third Test and the series after dominating India on day two in Nagpur.,World,0.3685772120952606,0,0.1842886060476303
4,Man tried for UK student's murder,The trial of a man accused of murdering York backpacker Caroline Stuttle begins in Australia.,World,0.3504848778247833,0,0.17524243891239166
5,Ponting doesn #39;t think much of Kiwis or winning  #39;myth #39;,RICKY PONTING believes the game #39;s watchers have fallen for the  quot;myth quot; that New Zealand know how to rattle Australia.,Sports,0.3454832136631012,0,0.1727416068315506
6,Hassan Body Found in Fallujah: Australian PM,Australia #39;s prime minister says a body found in Fallujah is likely that of kidnapped aid worker Margaret Hassan. John Howard told Parliament a videotape of an Iraqi terrorist group executing a Western woman appears to have been genuine.,World,0.34177732467651367,0,0.17088866233825684
7,A trio of television technologies,"AUSTRALIANS went into a television-buying frenzy the run-up to the Athens Olympics, suggesting that as a nation we could easily have scored a gold medal for TV purchasing.",Sci/Tech,0.3320058584213257,0,0.16600292921066284
8,Australia PM Gets Down to Work on Fourth Term (Reuters),"Reuters - Australia's conservative Prime Minister\John Howard, handed the most powerful mandate in a generation,\got down to work on Monday with reform of telecommunications,\labor and media laws high on his agenda.",World,0.32433539628982544,0,0.16216769814491272
9,"Police pull body of lost autistic man, 46, from Oakville creek (Canadian Press)","Canadian Press - OAKVILLE, Ont. (CP) - The body of a missing autistic man was pulled from a creek Monday, just metres from where a key piece of evidence was uncovered but originally overlooked because searchers had the wrong information.",World,0.3227379620075226,0,0.1613689810037613
